,Problem.,Description,Etiqueta,Fecha,Month,Year,Locacion,CON_TRAMPA,BTN_VIVO,BTN_PERF,BTN_SECO,NUM_INFLOR,NUM_FLOR,NUM_RFV,NUM_FV,NUM_RFM,NUM_FM,NUM_RAC_SECO,COD_VIEJO,Notas,X,month_year,cat DELETE,count DELETE
104,,,41,6-Jun-08,JUN,2008,SH190 45ME.E,NO,2,0,0,0,0,0,0,0,0,0,0,these likely both died and fell off between collection dates,,8-Jun,4139605JUN2008SH190 45ME.ENO20000000000these likely both died and fell off between collection dates43624,1
105,,,42,6-Jun-08,JUN,2008,SH770 25ME.E,NO,0,0,0,0,0,0,0,0,0,1,713,,,8-Jun,4239605JUN2008SH770 25ME.ENO000000000171343624,1
106,,,43,6-Jun-08,JUN,2008,SH700 30ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,4339605JUN2008SH700 30ME.ENO0000000000043624,1
107,,,59,6-Jun-08,JUN,2008,SH720 1ME.E,NO,0,0,0,0,0,0,0,0,0,0,710,,,8-Jun,5939605JUN2008SH720 1ME.ENO000000000071043624,1
108,,,60,6-Jun-08,JUN,2008,SH720 5ME.E,NO,0,0,0,0,0,0,0,0,0,1,711,botón viejo,,8-Jun,6039605JUN2008SH720 5ME.ENO0000000001711botón viejo43624,1
109,,,61,6-Jun-08,JUN,2008,SH720 10M.E,NO,0,0,0,0,0,0,0,0,0,0,706,,,8-Jun,6139605JUN2008SH720 10M.ENO000000000070643624,1
110,,,74,6-Jun-08,JUN,2008,SH700 30M.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,7439605JUN2008SH700 30M.WNO0000000000043624,1
111,,,75,6-Jun-08,JUN,2008,SH700 10M.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,7539605JUN2008SH700 10M.WNO0000000000043624,1
112,,,76,6-Jun-08,JUN,2008,SH680 1M.W,NO,0,1,0,0,0,0,0,0,0,0,0,botones con perforados ,,8-Jun,7639605JUN2008SH680 1M.WNO01000000000botones con perforados 43624,1
113,,,77,6-Jun-08,JUN,2008,SH640 10M.E,NO,0,2,0,0,0,0,0,0,0,0,695,botones con perforados ,,8-Jun,7739605JUN2008SH640 10M.ENO0200000000695botones con perforados 43624,1
114,,,78,6-Jun-08,JUN,2008,SH650 40M.E,NO,0,0,0,0,0,0,0,0,0,0,696,botones con perforados ,,8-Jun,7839605JUN2008SH650 40M.ENO0000000000696botones con perforados 43624,1
115,,,86,6-Jun-08,JUN,2008,SH630 150M.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,8639605JUN2008SH630 150M.WNO0000000000043624,1
116,,,89,6-Jun-08,JUN,2008,SH620 8M.W,NO,1,0,0,0,0,1,b,0,0,0,689,,,8-Jun,8939605JUN2008SH620 8M.WNO100001b00068943624,1
117,,,100,6-Jun-08,JUN,2008,SH 740 140E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,10039605JUN2008SH 740 140ENO0000000000043624,1
118,,,107,6-Jun-08,JUN,2008,SH 900 220W,NO,0,0,0,0,0,0,0,0,0,0,SI,Adulto,,8-Jun,10739605JUN2008SH 900 220WNO0000000000SIAdulto43624,1
119,,,144,6-Jun-08,JUN,2008,SH 900 5 E,NO,0,0,2,0,0,1,e,0,0,0,732,2 botones viejos,,8-Jun,14439605JUN2008SH 900 5 ENO002001e0007322 botones viejos43624,1
120,y,No inflor recorded,92,8-Jun-08,JUN,2008,SH350 5M.E,NO,0,0,0,0,0,1,c,0,0,0,667,was there an inflor?,,8-Jun,yNo inflor recorded9239607JUN2008SH350 5M.ENO000001c000667was there an inflor?43624,1
121,,,1,8-Jun-08,JUN,2008,SH900 5ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,139607JUN2008SH900 5ME.ENO0000000000043624,1
122,,,2,8-Jun-08,JUN,2008,SH900 22ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,239607JUN2008SH900 22ME.ENO0000000000043624,1
